Company,Role,Experience Level (Years),Salary (INR in LPA)
EY,Operations Analyst,2-3,4.4
Wipro,Operations Analyst,0-1,3.7
McKinsey,Business Analyst,7+,13.4
IBM,Marketing Analyst,2-3,6.9
McKinsey,Financial Analyst,1-2,5.6
PwC,Financial Analyst,0-1,4.5
TCS,Marketing Analyst,0-1,4.2
McKinsey,Business Analyst,0-1,4.7
Deloitte,Marketing Analyst,7+,11.4
EY,Data Analyst,3-5,7.6
PwC,Marketing Analyst,1-2,4.9
TCS,Operations Analyst,5-7,9.5
Capgemini,Data Analyst,0-1,4.5
Wipro,Financial Analyst,3-5,9.1
Deloitte,Marketing Analyst,5-7,7.2
Capgemini,Business Analyst,3-5,8.6
Deloitte,Marketing Analyst,1-2,4.2
EY,Data Analyst,3-5,7.4
Capgemini,Operations Analyst,1-2,5.1
Wipro,Financial Analyst,2-3,6.9
Cognizant,Data Analyst,2-3,6.3
Wipro,Operations Analyst,5-7,9.1
ZS Associates,Business Analyst,5-7,10.6
HCL,Data Analyst,0-1,4.9
Accenture,Financial Analyst,3-5,8.7
PwC,Data Analyst,7+,11.4
EY,Marketing Analyst,1-2,4.4
Deloitte,Financial Analyst,7+,12.7
Accenture,Financial Analyst,0-1,4.7
PwC,Business Analyst,7+,12.8
Accenture,Financial Analyst,3-5,8.3
McKinsey,Marketing Analyst,7+,10.9
Wipro,Business Analyst,3-5,7.9
ZS Associates,Data Analyst,1-2,5.9
Capgemini,Business Analyst,5-7,11.3
PwC,Business Analyst,0-1,5.2
PwC,Data Analyst,3-5,8.9
Accenture,Operations Analyst,2-3,5.3
Wipro,Business Analyst,1-2,6.5
McKinsey,Data Analyst,7+,12.7
Deloitte,Business Analyst,1-2,6.2
HCL,Data Analyst,0-1,4.6
TCS,Financial Analyst,2-3,6
PwC,Operations Analyst,7+,10.3
HCL,Business Analyst,7+,13.1
ZS Associates,Business Analyst,1-2,6.7
Deloitte,Business Analyst,2-3,7.1
Wipro,Marketing Analyst,7+,11.6
IBM,Marketing Analyst,7+,10.4
McKinsey,Operations Analyst,5-7,8.6
HCL,Financial Analyst,7+,13.1
TCS,Marketing Analyst,7+,11.6
Cognizant,Operations Analyst,3-5,6.6
HCL,Operations Analyst,0-1,3.8
IBM,Data Analyst,0-1,5.2
EY,Financial Analyst,2-3,7.8
TCS,Data Analyst,2-3,5.9
Capgemini,Data Analyst,5-7,9.8
EY,Marketing Analyst,0-1,3
Genpact,Marketing Analyst,7+,12
Capgemini,Operations Analyst,0-1,3.8
IBM,Operations Analyst,5-7,9.5
Accenture,Financial Analyst,3-5,8.6
IBM,Data Analyst,7+,12.6
McKinsey,Data Analyst,1-2,6
McKinsey,Business Analyst,7+,12.5
ZS Associates,Operations Analyst,1-2,5.4
Wipro,Data Analyst,1-2,4.6
EY,Operations Analyst,3-5,6.2
IBM,Data Analyst,2-3,6.6
McKinsey,Data Analyst,1-2,4.5
TCS,Financial Analyst,3-5,8.6
PwC,Business Analyst,2-3,5.8
IBM,Business Analyst,5-7,11.4
McKinsey,Financial Analyst,3-5,7.6
Capgemini,Marketing Analyst,7+,11.8
TCS,Data Analyst,3-5,9.2
Infosys,Business Analyst,2-3,7
Capgemini,Marketing Analyst,7+,11.8
McKinsey,Operations Analyst,3-5,7.7
Accenture,Operations Analyst,7+,10.1
EY,Data Analyst,2-3,7.4
McKinsey,Financial Analyst,0-1,4.7
Capgemini,Business Analyst,3-5,9.2
Wipro,Operations Analyst,2-3,5.4
Cognizant,Financial Analyst,0-1,5.2
KPMG,Data Analyst,5-7,10.1
Capgemini,Marketing Analyst,1-2,5.2
TCS,Financial Analyst,3-5,8.7
TCS,Business Analyst,0-1,4.4
EY,Operations Analyst,2-3,6
Deloitte,Business Analyst,3-5,7.7
HCL,Financial Analyst,5-7,11
EY,Data Analyst,0-1,4.3
ZS Associates,Operations Analyst,5-7,8.1
PwC,Operations Analyst,1-2,4
IBM,Data Analyst,7+,12
EY,Operations Analyst,7+,9.7
KPMG,Marketing Analyst,5-7,9.3
TCS,Marketing Analyst,0-1,4.3
PwC,Financial Analyst,3-5,8.2
KPMG,Data Analyst,2-3,6.7
ZS Associates,Financial Analyst,3-5,7.8
Cognizant,Data Analyst,0-1,4.2
ZS Associates,Operations Analyst,3-5,6.5
TCS,Financial Analyst,7+,12.3
PwC,Data Analyst,5-7,9.6
McKinsey,Marketing Analyst,5-7,9.4
Wipro,Marketing Analyst,1-2,3.8
KPMG,Data Analyst,1-2,5.8
Accenture,Operations Analyst,1-2,4.6
Cognizant,Business Analyst,2-3,6.6
Accenture,Financial Analyst,1-2,5.9
Capgemini,Business Analyst,5-7,10.9
McKinsey,Data Analyst,1-2,6
Wipro,Operations Analyst,5-7,8.9
Accenture,Marketing Analyst,3-5,6.7
IBM,Operations Analyst,5-7,8.7
IBM,Marketing Analyst,0-1,3.9
Deloitte,Data Analyst,2-3,7.1
Cognizant,Operations Analyst,0-1,4.8
Deloitte,Data Analyst,5-7,9.4
Deloitte,Marketing Analyst,1-2,4.6
ZS Associates,Financial Analyst,5-7,10.8
Accenture,Marketing Analyst,1-2,4.8
IBM,Operations Analyst,7+,10.1
Capgemini,Data Analyst,1-2,5.4
PwC,Financial Analyst,0-1,5.2
Capgemini,Financial Analyst,1-2,6.2
IBM,Marketing Analyst,7+,10.9
Deloitte,Business Analyst,0-1,4.2
Cognizant,Data Analyst,7+,11.9
Accenture,Data Analyst,3-5,6.9
HCL,Marketing Analyst,5-7,9.7
Genpact,Operations Analyst,1-2,5
KPMG,Business Analyst,3-5,8.7
Capgemini,Marketing Analyst,2-3,6.3
ZS Associates,Operations Analyst,0-1,3.8
HCL,Operations Analyst,5-7,8.5
IBM,Operations Analyst,5-7,9.1
Cognizant,Business Analyst,3-5,7.9
Accenture,Financial Analyst,0-1,5.2
Infosys,Data Analyst,0-1,4.7
Infosys,Operations Analyst,3-5,7.6
PwC,Marketing Analyst,5-7,9.3
EY,Data Analyst,0-1,4.8
Wipro,Operations Analyst,3-5,8
Infosys,Operations Analyst,3-5,7
McKinsey,Data Analyst,5-7,9.2
IBM,Data Analyst,3-5,8
Cognizant,Data Analyst,1-2,6.6
Infosys,Operations Analyst,2-3,5
Wipro,Marketing Analyst,0-1,4.2
HCL,Data Analyst,5-7,8.7
Cognizant,Operations Analyst,3-5,6.5
Capgemini,Business Analyst,2-3,7.2
Deloitte,Business Analyst,3-5,9
TCS,Business Analyst,2-3,7.7
KPMG,Marketing Analyst,2-3,6.4
Capgemini,Operations Analyst,2-3,5.5
Capgemini,Financial Analyst,0-1,4.7
TCS,Marketing Analyst,2-3,5.2
Infosys,Financial Analyst,1-2,6.6
PwC,Business Analyst,1-2,5.7
Wipro,Business Analyst,2-3,7.7
Cognizant,Business Analyst,5-7,10.9
HCL,Data Analyst,3-5,9.1
PwC,Operations Analyst,3-5,7.5
Wipro,Business Analyst,3-5,8.2
Infosys,Data Analyst,3-5,8.6
McKinsey,Business Analyst,5-7,11.6
IBM,Operations Analyst,2-3,4.9
PwC,Financial Analyst,1-2,5.5
ZS Associates,Business Analyst,5-7,11.5
KPMG,Business Analyst,3-5,8.6
Genpact,Financial Analyst,1-2,6.1
PwC,Operations Analyst,2-3,5.7
Deloitte,Business Analyst,5-7,11.1
TCS,Business Analyst,7+,13.3
Wipro,Operations Analyst,5-7,7.8
Cognizant,Business Analyst,2-3,7.4
EY,Marketing Analyst,3-5,7.6
ZS Associates,Financial Analyst,3-5,7.8
Cognizant,Operations Analyst,5-7,9.6
HCL,Marketing Analyst,1-2,5.2
Wipro,Data Analyst,7+,11.2
Capgemini,Financial Analyst,0-1,5
PwC,Operations Analyst,2-3,6.8
IBM,Business Analyst,3-5,8.6
Capgemini,Financial Analyst,0-1,4.5
Wipro,Business Analyst,0-1,5.2
EY,Marketing Analyst,2-3,6.1
McKinsey,Marketing Analyst,3-5,7.8
Cognizant,Business Analyst,5-7,10.8
KPMG,Financial Analyst,3-5,8.9
EY,Operations Analyst,5-7,9.8
Cognizant,Financial Analyst,1-2,5.3
KPMG,Financial Analyst,3-5,8.2
TCS,Data Analyst,1-2,5.2
TCS,Data Analyst,2-3,6.4
EY,Data Analyst,5-7,9.9
Deloitte,Data Analyst,3-5,7.6
EY,Business Analyst,3-5,8.9
McKinsey,Data Analyst,1-2,5.6
Accenture,Business Analyst,1-2,5.4
KPMG,Financial Analyst,7+,12.6
HCL,Operations Analyst,2-3,5.4
Infosys,Data Analyst,5-7,9.7
PwC,Marketing Analyst,5-7,8.2
Infosys,Operations Analyst,3-5,7.2
Deloitte,Financial Analyst,1-2,5.2
McKinsey,Business Analyst,2-3,7.4
Wipro,Financial Analyst,5-7,10.8
KPMG,Operations Analyst,3-5,6.6
Deloitte,Business Analyst,7+,12
IBM,Data Analyst,1-2,5
IBM,Financial Analyst,3-5,8.1
ZS Associates,Business Analyst,5-7,10.1
Wipro,Financial Analyst,0-1,4.8
HCL,Financial Analyst,3-5,8.3
Genpact,Financial Analyst,2-3,7.5
ZS Associates,Operations Analyst,3-5,7.1
HCL,Data Analyst,3-5,7.9
Accenture,Financial Analyst,5-7,10.5
ZS Associates,Marketing Analyst,1-2,5.2
Cognizant,Operations Analyst,5-7,8.5
ZS Associates,Financial Analyst,7+,12.7
Genpact,Business Analyst,1-2,6.3
Infosys,Data Analyst,7+,11.4
ZS Associates,Marketing Analyst,5-7,8.9
KPMG,Business Analyst,5-7,10.7
Capgemini,Financial Analyst,0-1,5.1
TCS,Business Analyst,3-5,8.6
TCS,Business Analyst,7+,12.2
Genpact,Marketing Analyst,1-2,5.1
Infosys,Financial Analyst,3-5,7.6
Genpact,Data Analyst,0-1,3.8
Infosys,Business Analyst,3-5,8.3
KPMG,Marketing Analyst,2-3,6.2
Accenture,Financial Analyst,0-1,3.9
Wipro,Operations Analyst,5-7,8.8
Wipro,Data Analyst,5-7,10.1
IBM,Operations Analyst,0-1,3.7
HCL,Data Analyst,5-7,9.4
Cognizant,Financial Analyst,5-7,10.7
Capgemini,Data Analyst,3-5,8.3
TCS,Data Analyst,0-1,4.8
ZS Associates,Operations Analyst,3-5,7
KPMG,Operations Analyst,7+,10.2
KPMG,Marketing Analyst,7+,11.9
Cognizant,Business Analyst,7+,13.3
KPMG,Business Analyst,5-7,10.9
PwC,Data Analyst,5-7,10.3
EY,Business Analyst,7+,12.9
McKinsey,Financial Analyst,2-3,7
HCL,Marketing Analyst,5-7,8.5
HCL,Financial Analyst,2-3,7.2
PwC,Business Analyst,7+,12.9
KPMG,Operations Analyst,5-7,8.2
Genpact,Marketing Analyst,0-1,3
Wipro,Marketing Analyst,7+,11.8
PwC,Financial Analyst,2-3,6.4
Cognizant,Financial Analyst,2-3,7.4
Wipro,Financial Analyst,7+,12.1
Genpact,Operations Analyst,5-7,8.2
EY,Operations Analyst,1-2,4.1
ZS Associates,Financial Analyst,1-2,5.1
HCL,Data Analyst,5-7,10.2
PwC,Operations Analyst,5-7,8.4
Cognizant,Business Analyst,2-3,7.9
Capgemini,Business Analyst,7+,13
Genpact,Data Analyst,3-5,8.4
IBM,Data Analyst,0-1,4.2
McKinsey,Business Analyst,3-5,8.1
Accenture,Operations Analyst,3-5,6.6
KPMG,Marketing Analyst,5-7,9.1
Deloitte,Marketing Analyst,0-1,3.9
EY,Data Analyst,0-1,4
IBM,Operations Analyst,1-2,4.9
KPMG,Business Analyst,3-5,8.1
IBM,Financial Analyst,3-5,8.7
EY,Data Analyst,0-1,4.9
IBM,Business Analyst,0-1,4.5
IBM,Operations Analyst,0-1,3.7
HCL,Marketing Analyst,7+,10.4
Deloitte,Marketing Analyst,0-1,4.4
KPMG,Financial Analyst,7+,12.5
Accenture,Financial Analyst,5-7,10.6
HCL,Data Analyst,1-2,6
EY,Marketing Analyst,1-2,4.9
Deloitte,Data Analyst,2-3,6.1
PwC,Financial Analyst,0-1,4.4
KPMG,Business Analyst,2-3,6.3
HCL,Data Analyst,5-7,9.6
KPMG,Financial Analyst,2-3,7
Capgemini,Financial Analyst,3-5,8.4
Infosys,Operations Analyst,0-1,5.1
Cognizant,Financial Analyst,7+,11.8
PwC,Financial Analyst,3-5,8.7
Infosys,Marketing Analyst,3-5,7.1
McKinsey,Marketing Analyst,1-2,4.4
KPMG,Operations Analyst,3-5,6.4
KPMG,Marketing Analyst,7+,11.7
KPMG,Financial Analyst,3-5,8.2
HCL,Marketing Analyst,7+,11.8
Infosys,Business Analyst,2-3,6.4
Deloitte,Business Analyst,3-5,7.9
Cognizant,Business Analyst,3-5,8.5
IBM,Business Analyst,0-1,5.2
ZS Associates,Financial Analyst,1-2,5.1
PwC,Marketing Analyst,5-7,10.4
PwC,Operations Analyst,0-1,4.3
Accenture,Business Analyst,5-7,10.7
Deloitte,Financial Analyst,1-2,5.8
Capgemini,Data Analyst,3-5,7.7
Capgemini,Data Analyst,0-1,4.5
KPMG,Business Analyst,0-1,5.3
IBM,Financial Analyst,7+,12.4
ZS Associates,Marketing Analyst,1-2,5.4
ZS Associates,Data Analyst,7+,12.5
Infosys,Business Analyst,1-2,6.3
Infosys,Business Analyst,0-1,5.3
PwC,Business Analyst,2-3,7
KPMG,Data Analyst,0-1,5
Cognizant,Marketing Analyst,5-7,8.3
Infosys,Financial Analyst,2-3,6.6
Accenture,Operations Analyst,7+,10.2
ZS Associates,Business Analyst,2-3,7.4
TCS,Business Analyst,7+,12.4
Deloitte,Data Analyst,2-3,5.8
TCS,Operations Analyst,1-2,4.8
Infosys,Financial Analyst,3-5,9
Wipro,Marketing Analyst,5-7,8
Capgemini,Marketing Analyst,3-5,7.4
EY,Business Analyst,5-7,11.1
TCS,Financial Analyst,3-5,9.2
IBM,Business Analyst,3-5,9
Deloitte,Marketing Analyst,3-5,7.5
TCS,Financial Analyst,1-2,5.2
IBM,Data Analyst,7+,12.6
McKinsey,Data Analyst,2-3,6.5
HCL,Marketing Analyst,2-3,5.2
Cognizant,Business Analyst,3-5,9
EY,Marketing Analyst,0-1,4.1
McKinsey,Marketing Analyst,3-5,8.2
Cognizant,Marketing Analyst,0-1,3.2
KPMG,Operations Analyst,3-5,6.8
Capgemini,Marketing Analyst,0-1,3.8
Infosys,Data Analyst,5-7,9.8
TCS,Business Analyst,2-3,7.2
Accenture,Marketing Analyst,1-2,4.8
Deloitte,Operations Analyst,3-5,6.8
PwC,Data Analyst,3-5,8.4
Wipro,Marketing Analyst,3-5,7.3
EY,Data Analyst,2-3,6.9
Genpact,Marketing Analyst,7+,11.8
EY,Financial Analyst,5-7,10.3
Capgemini,Marketing Analyst,3-5,6.9
Accenture,Financial Analyst,0-1,4.6
McKinsey,Financial Analyst,3-5,8.8
Cognizant,Operations Analyst,1-2,5.7
Capgemini,Marketing Analyst,3-5,7.7
Wipro,Business Analyst,0-1,5.8
Infosys,Financial Analyst,2-3,6.4
Genpact,Business Analyst,3-5,8.9
KPMG,Marketing Analyst,3-5,7.3
EY,Business Analyst,5-7,11.1
PwC,Marketing Analyst,2-3,6.6
Accenture,Data Analyst,1-2,5.6
Genpact,Data Analyst,3-5,8.1
TCS,Data Analyst,3-5,8.2
McKinsey,Financial Analyst,3-5,9
Cognizant,Business Analyst,5-7,10.8
IBM,Operations Analyst,3-5,7.1
Cognizant,Marketing Analyst,7+,10.6
EY,Business Analyst,1-2,5.6
KPMG,Business Analyst,3-5,8.5
McKinsey,Financial Analyst,2-3,6.1
IBM,Marketing Analyst,1-2,4.7
Cognizant,Marketing Analyst,1-2,4.9
Wipro,Marketing Analyst,0-1,3.7
PwC,Operations Analyst,7+,10
Deloitte,Operations Analyst,2-3,5.2
IBM,Operations Analyst,7+,11.2
EY,Business Analyst,2-3,6.9
McKinsey,Data Analyst,7+,12.3
Genpact,Data Analyst,5-7,10.1
Cognizant,Data Analyst,2-3,6.3
Genpact,Business Analyst,7+,12.6
Wipro,Business Analyst,3-5,8.6
ZS Associates,Data Analyst,2-3,6.4
Wipro,Operations Analyst,1-2,5
Accenture,Marketing Analyst,2-3,5.2
Genpact,Data Analyst,2-3,5.8
Accenture,Business Analyst,5-7,10.7
Wipro,Business Analyst,5-7,11.1
Genpact,Data Analyst,5-7,10
Wipro,Data Analyst,1-2,5.3
PwC,Financial Analyst,7+,12.6
EY,Business Analyst,0-1,4
Deloitte,Data Analyst,0-1,4.4
Genpact,Operations Analyst,0-1,4.1
ZS Associates,Operations Analyst,2-3,6.1
KPMG,Data Analyst,1-2,5.3
TCS,Marketing Analyst,3-5,6.9
IBM,Data Analyst,3-5,7.8
TCS,Financial Analyst,1-2,5.4
ZS Associates,Business Analyst,7+,12.8
Wipro,Business Analyst,0-1,5.1
KPMG,Marketing Analyst,3-5,6.9
EY,Financial Analyst,1-2,5
EY,Business Analyst,2-3,7
Deloitte,Financial Analyst,7+,12.4
Accenture,Financial Analyst,0-1,6
EY,Operations Analyst,3-5,8
KPMG,Data Analyst,7+,11.7
TCS,Marketing Analyst,7+,11.1
TCS,Operations Analyst,2-3,5.7
EY,Operations Analyst,5-7,8.3
PwC,Marketing Analyst,0-1,3.4
EY,Marketing Analyst,5-7,9.3
Infosys,Operations Analyst,1-2,5
Cognizant,Marketing Analyst,7+,10.4
McKinsey,Marketing Analyst,3-5,7.1
Wipro,Business Analyst,7+,12.2
HCL,Financial Analyst,0-1,4.5
Deloitte,Operations Analyst,3-5,6.9
Accenture,Data Analyst,7+,11.4
Accenture,Business Analyst,2-3,7.2
TCS,Data Analyst,2-3,6.2
KPMG,Data Analyst,3-5,8.1
IBM,Data Analyst,3-5,7.6
HCL,Marketing Analyst,1-2,4.4
Accenture,Financial Analyst,3-5,9.1
Infosys,Marketing Analyst,3-5,7.3
Accenture,Business Analyst,3-5,7.9
IBM,Financial Analyst,0-1,5.3
PwC,Data Analyst,2-3,6.1
Genpact,Business Analyst,5-7,11.1
Capgemini,Operations Analyst,3-5,6.9
PwC,Data Analyst,5-7,10.9
TCS,Data Analyst,5-7,10.1
Cognizant,Marketing Analyst,5-7,9
KPMG,Business Analyst,0-1,4
Deloitte,Operations Analyst,0-1,5.1
Deloitte,Operations Analyst,1-2,5.1
HCL,Marketing Analyst,5-7,10.1
Accenture,Marketing Analyst,0-1,4.3
KPMG,Operations Analyst,0-1,3.4
Deloitte,Operations Analyst,1-2,4.9
IBM,Marketing Analyst,5-7,9
Wipro,Data Analyst,3-5,8
Accenture,Marketing Analyst,5-7,8.9
ZS Associates,Operations Analyst,2-3,7
Deloitte,Financial Analyst,5-7,9.5
Wipro,Data Analyst,2-3,6.1
Accenture,Marketing Analyst,3-5,6.8
Deloitte,Data Analyst,5-7,9.8
HCL,Business Analyst,3-5,8.8
Deloitte,Data Analyst,3-5,8.2
Cognizant,Business Analyst,3-5,7.9
HCL,Business Analyst,5-7,11
HCL,Financial Analyst,3-5,8.6
KPMG,Financial Analyst,0-1,4.4
Capgemini,Data Analyst,3-5,9
EY,Operations Analyst,5-7,8.6
Infosys,Operations Analyst,5-7,9
TCS,Business Analyst,1-2,5.7
KPMG,Marketing Analyst,1-2,5
EY,Business Analyst,0-1,5.6
Cognizant,Data Analyst,1-2,4.9
Cognizant,Marketing Analyst,5-7,8.6
ZS Associates,Financial Analyst,0-1,4.7
Wipro,Financial Analyst,5-7,10.9
HCL,Data Analyst,5-7,11
Cognizant,Marketing Analyst,5-7,8.1
Infosys,Financial Analyst,7+,13.1
McKinsey,Operations Analyst,5-7,8.9
Accenture,Business Analyst,7+,12.7
HCL,Operations Analyst,7+,11.1
IBM,Financial Analyst,0-1,3.8
IBM,Data Analyst,1-2,5.6
PwC,Marketing Analyst,7+,11.7
IBM,Business Analyst,2-3,6.2
Cognizant,Marketing Analyst,2-3,6.2
HCL,Marketing Analyst,5-7,8.3
Wipro,Data Analyst,5-7,9.7
Accenture,Business Analyst,3-5,9.2
IBM,Business Analyst,7+,12.2
Cognizant,Business Analyst,1-2,5.5
Capgemini,Data Analyst,7+,11.1
HCL,Marketing Analyst,1-2,5.1
Cognizant,Data Analyst,3-5,8.3
Genpact,Data Analyst,3-5,7.5
Cognizant,Business Analyst,7+,13.2
KPMG,Data Analyst,2-3,6.6
McKinsey,Data Analyst,5-7,10.2
ZS Associates,Operations Analyst,0-1,3.9
Capgemini,Business Analyst,0-1,5.1
Capgemini,Operations Analyst,1-2,3.8
Infosys,Business Analyst,0-1,4.2
Accenture,Data Analyst,3-5,7.4
Cognizant,Data Analyst,1-2,5.1
IBM,Operations Analyst,3-5,6.2
HCL,Data Analyst,0-1,4.3
Wipro,Data Analyst,3-5,7.6
Deloitte,Business Analyst,7+,12.5
Accenture,Operations Analyst,5-7,8.8
Cognizant,Data Analyst,7+,12
McKinsey,Financial Analyst,2-3,7.1
EY,Marketing Analyst,0-1,3.8
KPMG,Operations Analyst,7+,10.4
McKinsey,Operations Analyst,0-1,3.8
Infosys,Data Analyst,5-7,10.2
TCS,Business Analyst,3-5,8.5
McKinsey,Marketing Analyst,3-5,7.1
PwC,Operations Analyst,3-5,6
Infosys,Financial Analyst,0-1,4.4
KPMG,Operations Analyst,1-2,5.3
ZS Associates,Business Analyst,2-3,6.9
HCL,Operations Analyst,7+,10.4
McKinsey,Financial Analyst,1-2,5.8
ZS Associates,Operations Analyst,1-2,4.5
IBM,Operations Analyst,2-3,5.5
ZS Associates,Data Analyst,3-5,7.5
IBM,Business Analyst,7+,12.5
EY,Financial Analyst,0-1,6
KPMG,Financial Analyst,0-1,4.3
McKinsey,Marketing Analyst,7+,10.9
Cognizant,Operations Analyst,7+,10.9
Wipro,Data Analyst,2-3,6.3
HCL,Data Analyst,0-1,4.3
Accenture,Business Analyst,7+,13.2
Accenture,Business Analyst,1-2,6.2
IBM,Data Analyst,5-7,9.6
IBM,Operations Analyst,5-7,7.9
Genpact,Financial Analyst,2-3,7
Wipro,Data Analyst,2-3,5.4
ZS Associates,Business Analyst,1-2,6.4
Capgemini,Marketing Analyst,1-2,4.4
TCS,Marketing Analyst,3-5,7.6
HCL,Financial Analyst,3-5,7.3
HCL,Marketing Analyst,2-3,6.3
PwC,Marketing Analyst,5-7,9.2
KPMG,Operations Analyst,3-5,7
Accenture,Business Analyst,2-3,7.6
Accenture,Financial Analyst,5-7,10.5
Accenture,Data Analyst,5-7,10.5
Deloitte,Business Analyst,5-7,12.2
ZS Associates,Data Analyst,7+,11.5
Genpact,Financial Analyst,3-5,8.2
KPMG,Operations Analyst,0-1,4.6
EY,Operations Analyst,0-1,3.5
PwC,Marketing Analyst,2-3,5.9
HCL,Business Analyst,1-2,6.5
Wipro,Financial Analyst,2-3,6.4
Wipro,Data Analyst,0-1,4.5
IBM,Marketing Analyst,2-3,5.5
Deloitte,Marketing Analyst,5-7,9.3
EY,Business Analyst,5-7,10.7
Infosys,Business Analyst,5-7,11.3
McKinsey,Business Analyst,5-7,10.1
EY,Operations Analyst,2-3,6.1
Cognizant,Business Analyst,5-7,11.3
Deloitte,Data Analyst,5-7,10.6
KPMG,Marketing Analyst,5-7,8.8
Capgemini,Business Analyst,1-2,6.2
IBM,Marketing Analyst,2-3,5.7
McKinsey,Data Analyst,0-1,4.1
TCS,Financial Analyst,1-2,5.4
TCS,Data Analyst,0-1,4.6
KPMG,Operations Analyst,7+,10.4
PwC,Operations Analyst,3-5,7.2
HCL,Operations Analyst,2-3,6.1
Cognizant,Data Analyst,5-7,9.6
Capgemini,Operations Analyst,7+,9.7
IBM,Marketing Analyst,2-3,6.4
IBM,Operations Analyst,5-7,9.1
Deloitte,Business Analyst,3-5,8.2
Infosys,Financial Analyst,2-3,7
Capgemini,Data Analyst,7+,12.5
Infosys,Financial Analyst,0-1,4.8
EY,Business Analyst,5-7,11.1
Wipro,Business Analyst,5-7,10.3
PwC,Operations Analyst,2-3,6
TCS,Data Analyst,7+,12.9
TCS,Business Analyst,0-1,4.7
Genpact,Data Analyst,1-2,6.2
TCS,Marketing Analyst,2-3,4.9
HCL,Data Analyst,0-1,4.4
Accenture,Business Analyst,2-3,6
McKinsey,Operations Analyst,1-2,5.3
McKinsey,Marketing Analyst,2-3,5.4
HCL,Financial Analyst,0-1,4.8
Infosys,Operations Analyst,0-1,4.3
EY,Operations Analyst,5-7,8.5
Cognizant,Operations Analyst,0-1,4.6
IBM,Operations Analyst,0-1,5.7
Capgemini,Operations Analyst,3-5,7.1
Accenture,Financial Analyst,5-7,11.6
Wipro,Financial Analyst,2-3,6.6
EY,Operations Analyst,5-7,7.9
Infosys,Financial Analyst,3-5,7.7
HCL,Marketing Analyst,0-1,4
KPMG,Data Analyst,2-3,7.4
McKinsey,Operations Analyst,3-5,7
Infosys,Data Analyst,3-5,8.5
Capgemini,Data Analyst,3-5,7.7
Capgemini,Business Analyst,2-3,6
EY,Financial Analyst,1-2,5
Genpact,Financial Analyst,7+,12.1
IBM,Data Analyst,7+,12.2
Cognizant,Marketing Analyst,5-7,8.9
IBM,Marketing Analyst,2-3,5.2
Deloitte,Marketing Analyst,5-7,8.9
Wipro,Data Analyst,0-1,5.5
EY,Data Analyst,0-1,4.6
Infosys,Financial Analyst,5-7,9.7
IBM,Operations Analyst,7+,10
Capgemini,Data Analyst,3-5,7.5
KPMG,Operations Analyst,3-5,5.9
HCL,Data Analyst,3-5,8.6
IBM,Operations Analyst,2-3,5.3
KPMG,Operations Analyst,1-2,4.6
Genpact,Operations Analyst,0-1,4.1
Genpact,Operations Analyst,3-5,6.7
Wipro,Operations Analyst,1-2,4.6
Infosys,Operations Analyst,7+,11
Deloitte,Financial Analyst,0-1,4.4
Wipro,Business Analyst,5-7,11.2
EY,Financial Analyst,3-5,7.9
ZS Associates,Financial Analyst,0-1,4.6
Deloitte,Marketing Analyst,1-2,4.7
HCL,Data Analyst,0-1,4.4
Capgemini,Financial Analyst,1-2,5
ZS Associates,Operations Analyst,0-1,3.9
Deloitte,Financial Analyst,5-7,10.8
Capgemini,Financial Analyst,2-3,6.9
EY,Marketing Analyst,2-3,5
Infosys,Business Analyst,7+,12.9
Infosys,Data Analyst,2-3,6.3
McKinsey,Marketing Analyst,0-1,4.5
McKinsey,Financial Analyst,1-2,5.8
HCL,Data Analyst,1-2,5.3
McKinsey,Business Analyst,0-1,5
Genpact,Business Analyst,3-5,8.5
Accenture,Business Analyst,7+,13
Accenture,Operations Analyst,1-2,5
EY,Data Analyst,3-5,7.7
TCS,Data Analyst,3-5,7.6
Accenture,Marketing Analyst,7+,11
McKinsey,Operations Analyst,5-7,8.6
HCL,Business Analyst,5-7,11.2
Deloitte,Operations Analyst,2-3,6
PwC,Operations Analyst,7+,10.8
Capgemini,Business Analyst,5-7,10.8
KPMG,Data Analyst,1-2,5.4
ZS Associates,Marketing Analyst,1-2,5
TCS,Marketing Analyst,5-7,9.2
HCL,Data Analyst,3-5,8.4
Deloitte,Data Analyst,5-7,10.2
Infosys,Marketing Analyst,5-7,9.5
EY,Business Analyst,1-2,5.1
Deloitte,Operations Analyst,3-5,6.6
Infosys,Financial Analyst,3-5,8.3
Deloitte,Financial Analyst,5-7,10.8
TCS,Business Analyst,5-7,10
ZS Associates,Financial Analyst,2-3,7
Accenture,Financial Analyst,0-1,4.2
McKinsey,Business Analyst,7+,13.1
Accenture,Business Analyst,1-2,5.8
McKinsey,Data Analyst,5-7,10.5
McKinsey,Financial Analyst,2-3,7.5
HCL,Data Analyst,3-5,7.2
Infosys,Marketing Analyst,7+,11
Genpact,Financial Analyst,0-1,4.6
ZS Associates,Marketing Analyst,0-1,4.8
ZS Associates,Business Analyst,3-5,8.8
HCL,Financial Analyst,0-1,4.5
ZS Associates,Marketing Analyst,0-1,4.3
McKinsey,Marketing Analyst,1-2,5
ZS Associates,Business Analyst,7+,12.9
Wipro,Marketing Analyst,7+,11.2
IBM,Operations Analyst,2-3,5.8
HCL,Operations Analyst,5-7,8.5
Accenture,Data Analyst,0-1,3.7
